molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL542118,Cl.NC1CC1c1ccccc1,19000.0,inactive
CHEMBL2093956,Cc1ccc([C@@]2(F)C[C@H]2N)cc1.Cl,6700.0,intermediate
CHEMBL903,NNC(N)=O,6700.0,intermediate
CHEMBL536057,C=C(CNN)c1ccccc1.Cl,71000.0,inactive
CHEMBL556769,Cl.NNC/C(=C/F)c1ccccc1,650.0,active
CHEMBL553631,C=C(CNN)c1ccccc1C.Cl,90000.0,inactive
CHEMBL536059,C=C(CNN)c1ccc(F)cc1.Cl,81000.0,inactive
CHEMBL536060,C=C(CNN)c1ccc(Cl)cc1.Cl,24500.0,inactive
CHEMBL142738,Cc1c(C)c2ccc(NC(=O)c3ccccc3)cc2oc1=O,8.71,active
CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1,1.698,active
CHEMBL339565,CC(=O)c1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,26.3,active
CHEMBL124935,O=C1c2ccccc2-c2nnc(-c3ccc([N+](=O)[O-])cc3)cc21,8.318,active
CHEMBL123895,O=C1c2ccccc2-c2nnc(-c3ccccc3[N+](=O)[O-])cc21,524.81,active
CHEMBL339429,N#Cc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,117.49,active
CHEMBL339027,N#Cc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,33.11,active
CHEMBL127983,O=C1c2ccccc2-c2nnc(-c3ccc(C(F)(F)F)cc3)cc21,5.37,active
CHEMBL127774,O=C1c2ccccc2-c2nnc(-c3cccc(C(F)(F)F)c3)cc21,8.511,active
CHEMBL338094,O=C1c2ccccc2-c2nnc(-c3ccc(Br)cc3)cc21,8.128,active
CHEMBL127622,O=C1c2ccccc2-c2nnc(-c3cccc(Br)c3)cc21,5.623,active
CHEMBL127517,O=C1c2ccccc2-c2nnc(-c3ccc(Cl)cc3)cc21,10.96,active
CHEMBL339626,O=C1c2ccccc2-c2nnc(-c3cccc(Cl)c3)cc21,4.571,active
CHEMBL127518,O=C1c2ccccc2-c2nnc(-c3ccccc3Cl)cc21,190.55,active
CHEMBL125921,O=C1c2ccccc2-c2nnc(-c3ccc(F)c(F)c3)cc21,5.012,active
CHEMBL340701,O=C1c2ccccc2-c2nnc(-c3ccc(F)cc3)cc21,14.79,active
CHEMBL127751,O=C1c2ccccc2-c2nnc(-c3cccc(F)c3)cc21,42.66,active
CHEMBL125044,COc1ccc(-c2cc3c(nn2)-c2ccccc2C3=O)cc1,74.13,active
CHEMBL125094,COc1cccc(-c2cc3c(nn2)-c2ccccc2C3=O)c1,42.66,active
CHEMBL127757,O=C1c2ccccc2-c2nnc(-c3ccc(O)cc3)cc21,269.15,active
CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,602.56,active
CHEMBL420523,O=C1c2ccccc2-c2nnc(-c3ccco3)cc21,2691.53,intermediate
CHEMBL127982,O=C1c2ccccc2-c2nnc(-c3ccc4ccccc4c3)cc21,6.31,active
CHEMBL125843,O=C1c2ccccc2-c2nnc(/C=C/c3ccccc3)cc21,26.3,active
CHEMBL126505,O=C1c2ccccc2-c2nnc(CCc3ccccc3)cc21,31.62,active
CHEMBL338035,O=C1c2ccccc2-c2nnc(Cc3ccccc3)cc21,758.58,active
CHEMBL128029,O=C1c2ccccc2-c2nnc(-c3ccccc3)c(Cc3ccccc3)c21,1288.25,intermediate
CHEMBL421088,O=C1c2ccccc2-c2nnc(-c3ccccc3)cc21,177.83,active
CHEMBL126504,Cc1nnc2c(c1-c1ccccc1)C(=O)c1ccccc1-2,2951.21,intermediate
CHEMBL341071,Cc1cc2c(nn1)-c1ccccc1C2=O,2754.23,intermediate
CHEMBL357614,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,1.622,active
CHEMBL142582,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,1.122,active
CHEMBL145792,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,2.344,active
CHEMBL274030,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,1.479,active
CHEMBL276076,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,1.549,active
CHEMBL18966,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,1.38,active
CHEMBL356977,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,1.096,active
CHEMBL356714,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,1.413,active
CHEMBL143555,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,4.266,active
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,2.138,active
CHEMBL108697,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,0.912,active
CHEMBL439811,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,7.943,active
CHEMBL145003,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,3.631,active
CHEMBL111310,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1.66,active
CHEMBL109085,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,1.202,active
CHEMBL342327,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O,1.95,active
CHEMBL214255,O=c1ccc2ccc(OS(=O)(=O)c3ccccc3)cc2o1,2238.72,intermediate
CHEMBL342724,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O,125.89,active
CHEMBL142916,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,3.89,active
CHEMBL145452,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1,199.53,active
CHEMBL18978,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,15.85,active
CHEMBL145292,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,1.122,active
CHEMBL146222,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,1.778,active
CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,0.912,active
CHEMBL348922,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,1.38,active
CHEMBL111309,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,1.072,active
CHEMBL145374,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1,257.04,active
CHEMBL145503,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,3.236,active
CHEMBL108660,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,1.585,active
CHEMBL143316,O=c1ccc2ccc(CNc3ccccc3)cc2o1,57.54,active
CHEMBL434695,O=c1ccc2ccc(COc3ccccc3)cc2o1,64.57,active
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,51000.0,inactive
CHEMBL255700,C#CCNCc1ccnc2c(O)cccc12,4240.0,intermediate
CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12,57.0,active
CHEMBL257368,C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1,64200.0,inactive
CHEMBL356385,C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,1500.0,intermediate
CHEMBL255231,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,120000.0,inactive
CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,32000.0,inactive
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,4.4,active
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,3.31,active
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,7.0,active
CHEMBL255590,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2,72000.0,inactive
CHEMBL502371,CC1CCCC/C1=N/Nc1nc(-c2ccccc2)cs1,711.23,active
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,7540.0,intermediate
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,19.6,active
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,61350.0,inactive
CHEMBL498683,CC1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,26.23,active
CHEMBL498507,CC1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,32.33,active
CHEMBL457535,COc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1,2370.0,intermediate
CHEMBL498506,Cc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1,142.64,active
CHEMBL498505,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,14.2,active
CHEMBL496281,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2Cl)cs1,26810.0,inactive
CHEMBL496280,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,203.83,active
CHEMBL496279,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2)cs1,13120.0,inactive
CHEMBL497674,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,47.24,active
CHEMBL508324,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,32.48,active
CHEMBL456150,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,63.02,active
CHEMBL453703,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,9.8,active
CHEMBL498694,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,16.58,active
CHEMBL497676,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,30.08,active
CHEMBL497675,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,36.06,active
CHEMBL524447,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,22.01,active
CHEMBL472080,O=C(NC1CCCCC1)c1cc2ccccc2oc1=O,500.0,active
CHEMBL472081,CC(C)NC(=O)c1cc2ccccc2oc1=O,25360.0,inactive
CHEMBL512883,CC(C)CNC(=O)c1cc2ccccc2oc1=O,3270.0,intermediate
CHEMBL472638,NCCNC(=O)c1cc2ccccc2oc1=O,7680.0,intermediate
CHEMBL494795,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O,760.0,active
CHEMBL469350,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O,910.0,active
CHEMBL445184,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,600.0,active
CHEMBL469362,COc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,640.0,active
CHEMBL508698,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O,250.0,active
CHEMBL509345,O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O,250.0,active
CHEMBL512843,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,710.0,active
CHEMBL469583,CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,890.0,active
CHEMBL470213,CC(C)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,650.0,active
CHEMBL470420,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,820.0,active
CHEMBL470220,CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,2840.0,intermediate
CHEMBL470221,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O,67.0,active
CHEMBL513209,O=C(O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,1140.0,intermediate
