molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4474935,Cc1c(C)c2ccc(OC3CCN(Cc4ccc(C#N)cc4)CC3)cc2oc1=O,active,388.46700000000016,4.324920000000004,0.0,5.0,6.1830961606243395
CHEMBL4564297,Cc1c(C)c2ccc(OC3CCN(CC(=O)c4ccccc4)CC3)cc2oc1=O,active,391.46700000000016,4.135940000000003,0.0,5.0,6.943095148663527
CHEMBL4451548,Cc1c(C)c2ccc(OCC3CCN(C)CC3)cc2oc1=O.Cl,active,337.84700000000004,3.5522400000000025,0.0,4.0,6.527243550682788
CHEMBL4472789,Cc1c(C)c2ccc(OCC3CCN(Cc4ccccc4)CC3)cc2oc1=O.Cl,active,413.9450000000001,5.122640000000006,0.0,4.0,6.978810700930062
CHEMBL4539659,Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(Cl)c4)CC3)cc2oc1=O.Cl,active,448.39000000000016,5.776040000000006,0.0,4.0,7.050609993355087
CHEMBL4539801,Cc1c(C)c2ccc(OCC3CCN(Cc4ccc(Cl)cc4)CC3)cc2oc1=O.Cl,active,448.39000000000016,5.776040000000006,0.0,4.0,6.211831628858833
CHEMBL4582505,Cc1c(C)c2ccc(OCC3CCN(Cc4ccc(C#N)cc4)CC3)cc2oc1=O.Cl,active,438.9550000000001,4.994320000000005,0.0,5.0,6.260427655549908
CHEMBL4441966,Cc1c(C)c2ccc(OCC3CCCN(C)C3)cc2oc1=O.Cl,active,337.84700000000004,3.5522400000000025,0.0,4.0,6.863279432843593
CHEMBL4456665,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O.Cl,active,413.9450000000001,5.122640000000006,0.0,4.0,7.522878745280337
CHEMBL4571763,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,active,377.4840000000001,4.700840000000005,0.0,4.0,7.638272163982407
CHEMBL4571763,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccccc4)C3)cc2oc1=O,active,377.4840000000001,4.700840000000005,0.0,4.0,6.709965388637482
CHEMBL4447506,Cc1c(C)c2ccc(OCC3CCCN(Cc4cccc(Cl)c4)C3)cc2oc1=O.Cl,active,448.39000000000004,5.776040000000006,0.0,4.0,7.443697499232712
CHEMBL4443825,Cc1c(C)c2ccc(OCC3CCCN(Cc4cccc(Br)c4)C3)cc2oc1=O.Cl,active,492.84100000000007,5.885140000000006,0.0,4.0,6.958607314841775
CHEMBL4460538,Cc1c(C)c2ccc(OCC3CCCN(Cc4cccc(Br)c4)C3)cc2oc1=O,active,456.3800000000001,5.463340000000006,0.0,4.0,7.585026652029182
CHEMBL4460538,Cc1c(C)c2ccc(OCC3CCCN(Cc4cccc(Br)c4)C3)cc2oc1=O,active,456.3800000000001,5.463340000000006,0.0,4.0,6.707743928643524
CHEMBL4439320,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(F)cc4)C3)cc2oc1=O.Cl,active,431.9350000000001,5.261740000000005,0.0,4.0,6.787812395596042
